0	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
1	T	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
2	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
3	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
4	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
5	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
6	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
7	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
8	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
9	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
10	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
11	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	2
12	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
13	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	2
14	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	2
15	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	2
16	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
17	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
18	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
19	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
20	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
21	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
22	A	T	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.5	1
23	A	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
24	T	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
25	A	A	0.075	0.075	0.125	0.125	0.125	-0.5	0	0.325	1
26	A	T	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.5	1
27	T	A	0.075	0.075	0.125	0.125	0.125	-0.325	0	0.325	1
